log_type,timestamp,col3,col4,col5
deployment,2025-09-21T22:20:56.2933595Z,INFO,Statuses: read,
deployment,2025-09-21T22:20:56.2934049Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:56.2935979Z,INFO,Secret source: Dependabot,
deployment,2025-09-21T22:20:56.2936651Z,INFO,Prepare workflow directory,
deployment,2025-09-21T22:20:56.3434646Z,INFO,Prepare all required actions,
deployment,2025-09-21T22:20:56.3473821Z,INFO,Getting action download info,
deployment,2025-09-21T22:20:56.7021208Z,INFO,Download action repository 'actions/checkout@v5' (SHA:08c6903cd8c0fde910a37f88322edcfb5dd907a8),
deployment,2025-09-21T22:20:56.9140577Z,INFO,Download action repository 'docker/setup-qemu-action@v3' (SHA:29109295f81e9208d7d86ff1c6c12d2833863392),
deployment,2025-09-21T22:20:57.2963198Z,INFO,Download action repository 'actions/setup-go@v6' (SHA:44694675825211faa026b3c33043df3e48a5fa00),
deployment,2025-09-21T22:20:57.5361371Z,INFO,Download action repository 'test-summary/action@v2' (SHA:31493c76ec9e7aa675f1585d3ed6f1da69269a86),
deployment,2025-09-21T22:20:57.7186926Z,INFO,Download action repository 'codecov/codecov-action@v5' (SHA:5a1091511ad55cbe89839c7260b706298ca349f7),
deployment,2025-09-21T22:20:57.9967979Z,INFO,Getting action download info,
deployment,2025-09-21T22:20:58.0959694Z,INFO,Download action repository 'actions/github-script@60a0d83039c74a4aee543508d2ffcb1c3799cdea' (SHA:60a0d83039c74a4aee543508d2ffcb1c3799cdea),
deployment,2025-09-21T22:20:58.3446702Z,INFO,Complete job name: test-linux,
deployment,2025-09-21T22:20:58.4289574Z,INFO,##[group]Run actions/checkout@v5,
deployment,2025-09-21T22:20:58.4290956Z,INFO,with:,
deployment,2025-09-21T22:20:58.4292086Z,INFO,fetch-depth: 2,
deployment,2025-09-21T22:20:58.4292995Z,INFO,repository: nektos/act,
deployment,2025-09-21T22:20:58.4294253Z,INFO,token: ***,
deployment,2025-09-21T22:20:58.4295043Z,INFO,ssh-strict: true,
deployment,2025-09-21T22:20:58.4295830Z,INFO,ssh-user: git,
deployment,2025-09-21T22:20:58.4296638Z,INFO,persist-credentials: true,
deployment,2025-09-21T22:20:58.4297535Z,INFO,clean: true,
deployment,2025-09-21T22:20:58.4298361Z,INFO,sparse-checkout-cone-mode: true,
deployment,2025-09-21T22:20:58.4299330Z,INFO,fetch-tags: false,
deployment,2025-09-21T22:20:58.4300127Z,INFO,show-progress: true,
deployment,2025-09-21T22:20:58.4300937Z,INFO,lfs: false,
deployment,2025-09-21T22:20:58.4301803Z,INFO,submodules: false,
deployment,2025-09-21T22:20:58.4302632Z,INFO,set-safe-directory: true,
deployment,2025-09-21T22:20:58.4303799Z,INFO,env:,
deployment,2025-09-21T22:20:58.4304515Z,INFO,ACT_OWNER: nektos,
deployment,2025-09-21T22:20:58.4305337Z,INFO,ACT_REPOSITORY: nektos/act,
deployment,2025-09-21T22:20:58.4306217Z,INFO,CGO_ENABLED: 0,
deployment,2025-09-21T22:20:58.4306980Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:58.5337023Z,INFO,Syncing repository: nektos/act,
deployment,2025-09-21T22:20:58.5339452Z,INFO,##[group]Getting Git version info,
deployment,2025-09-21T22:20:58.5340933Z,INFO,Working directory is '/home/runner/work/act/act',
deployment,2025-09-21T22:20:58.5342876Z,INFO,[command]/usr/bin/git version,
deployment,2025-09-21T22:20:58.5430678Z,INFO,git version 2.51.0,
deployment,2025-09-21T22:20:58.5456734Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:58.5470783Z,INFO,Temporarily overriding HOME='/home/runner/work/_temp/26beb9d0-4655-4b6c-8a68-49a833db629b' before making global git config changes,
deployment,2025-09-21T22:20:58.5475835Z,INFO,Adding repository directory to the temporary git global config as a safe directory,
deployment,2025-09-21T22:20:58.5478587Z,INFO,[command]/usr/bin/git config --global --add safe.directory /home/runner/work/act/act,
deployment,2025-09-21T22:20:58.5516048Z,INFO,Deleting the contents of '/home/runner/work/act/act',
deployment,2025-09-21T22:20:58.5519942Z,INFO,##[group]Initializing the repository,
deployment,2025-09-21T22:20:58.5524056Z,INFO,[command]/usr/bin/git init /home/runner/work/act/act,
deployment,2025-09-21T22:20:58.5640859Z,INFO,hint: Using 'master' as the name for the initial branch. This default branch name,
deployment,2025-09-21T22:20:58.5645854Z,INFO,hint: is subject to change. To configure the initial branch name to use in all,
deployment,2025-09-21T22:20:58.5651247Z,WARN,"hint: of your new repositories, which will suppress this warning, call:",
deployment,2025-09-21T22:20:58.5653886Z,INFO,hint:,
deployment,2025-09-21T22:20:58.5656237Z,INFO,hint: 	git config --global init.defaultBranch <name>,
deployment,2025-09-21T22:20:58.5657917Z,INFO,hint:,
deployment,2025-09-21T22:20:58.5659566Z,INFO,"hint: Names commonly chosen instead of 'master' are 'main', 'trunk' and",
deployment,2025-09-21T22:20:58.5663127Z,INFO,hint: 'development'. The just-created branch can be renamed via this command:,
deployment,2025-09-21T22:20:58.5665067Z,INFO,hint:,
deployment,2025-09-21T22:20:58.5666116Z,INFO,hint: 	git branch -m <name>,
deployment,2025-09-21T22:20:58.5667323Z,INFO,hint:,
deployment,2025-09-21T22:20:58.5668802Z,INFO,"hint: Disable this message with ""git config set advice.defaultBranchName false""",
deployment,2025-09-21T22:20:58.5671005Z,INFO,Initialized empty Git repository in /home/runner/work/act/act/.git/,
deployment,2025-09-21T22:20:58.5674918Z,INFO,[command]/usr/bin/git remote add origin https://github.com/nektos/act,
deployment,2025-09-21T22:20:58.5707387Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:58.5709892Z,INFO,##[group]Disabling automatic garbage collection,
deployment,2025-09-21T22:20:58.5711717Z,INFO,[command]/usr/bin/git config --local gc.auto 0,
deployment,2025-09-21T22:20:58.5737910Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:58.5739642Z,INFO,##[group]Setting up auth,
deployment,2025-09-21T22:20:58.5744039Z,INFO,[command]/usr/bin/git config --local --name-only --get-regexp core\.sshCommand,
deployment,2025-09-21T22:20:58.5774826Z,INFO,"[command]/usr/bin/git submodule foreach --recursive sh -c ""git config --local --name-only --get-regexp 'core\.sshCommand' && git config --local --unset-all 'core.sshCommand' || :""",
deployment,2025-09-21T22:20:58.6164978Z,INFO,[command]/usr/bin/git config --local --name-only --get-regexp http\.https\:\/\/github\.com\/\.extraheader,
deployment,2025-09-21T22:20:58.6198442Z,INFO,"[command]/usr/bin/git submodule foreach --recursive sh -c ""git config --local --name-only --get-regexp 'http\.https\:\/\/github\.com\/\.extraheader' && git config --local --unset-all 'http.https://github.com/.extraheader' || :""",
deployment,2025-09-21T22:20:58.6426107Z,INFO,[command]/usr/bin/git config --local http.https://github.com/.extraheader AUTHORIZATION: basic ***,
deployment,2025-09-21T22:20:58.6462918Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:58.6466133Z,INFO,##[group]Fetching the repository,
deployment,2025-09-21T22:20:58.6474769Z,INFO,[command]/usr/bin/git -c protocol.version=2 fetch --no-tags --prune --no-recurse-submodules --depth=2 origin +7909e55f68f039676fc8a1969658d80220386c57:refs/remotes/pull/5936/merge,
deployment,2025-09-21T22:20:59.0287981Z,INFO,From https://github.com/nektos/act,
deployment,2025-09-21T22:20:59.0292977Z,INFO,* [new ref]         7909e55f68f039676fc8a1969658d80220386c57 -> pull/5936/merge,
deployment,2025-09-21T22:20:59.0377509Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:59.0380326Z,INFO,##[group]Determining the checkout info,
deployment,2025-09-21T22:20:59.0382795Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:59.0386607Z,INFO,[command]/usr/bin/git sparse-checkout disable,
deployment,2025-09-21T22:20:59.0434276Z,INFO,[command]/usr/bin/git config --local --unset-all extensions.worktreeConfig,
deployment,2025-09-21T22:20:59.0465721Z,INFO,##[group]Checking out the ref,
deployment,2025-09-21T22:20:59.0470195Z,INFO,[command]/usr/bin/git checkout --progress --force refs/remotes/pull/5936/merge,
deployment,2025-09-21T22:20:59.2758327Z,INFO,Note: switching to 'refs/remotes/pull/5936/merge'.,
deployment,2025-09-21T22:20:59.2760794Z,INFO,,
deployment,2025-09-21T22:20:59.2761746Z,INFO,"You are in 'detached HEAD' state. You can look around, make experimental",
deployment,2025-09-21T22:20:59.2763077Z,INFO,"changes and commit them, and you can discard any commits you make in this",
deployment,2025-09-21T22:20:59.2764305Z,INFO,state without impacting any branches by switching back to a branch.,
deployment,2025-09-21T22:20:59.2765044Z,INFO,,
deployment,2025-09-21T22:20:59.2765674Z,INFO,"If you want to create a new branch to retain commits you create, you may",
deployment,2025-09-21T22:20:59.2766970Z,INFO,do so (now or later) by using -c with the switch command. Example:,
deployment,2025-09-21T22:20:59.2767698Z,INFO,,
deployment,2025-09-21T22:20:59.2768021Z,INFO,git switch -c <new-branch-name>,
deployment,2025-09-21T22:20:59.2768538Z,INFO,,
deployment,2025-09-21T22:20:59.2768986Z,INFO,Or undo this operation with:,
deployment,2025-09-21T22:20:59.2769467Z,INFO,,
deployment,2025-09-21T22:20:59.2769721Z,INFO,git switch -,
deployment,2025-09-21T22:20:59.2770150Z,INFO,,
deployment,2025-09-21T22:20:59.2770759Z,INFO,Turn off this advice by setting config variable advice.detachedHead to false,
deployment,2025-09-21T22:20:59.2771444Z,INFO,,
deployment,2025-09-21T22:20:59.2772753Z,INFO,HEAD is now at 7909e55 Merge 5e3e3315424fbeac7e955fa6b7fe2bae85b09aa3 into 2f9675f8ee884c6b2da5ad2f7089ef9c504fcfb6,
deployment,2025-09-21T22:20:59.2775768Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:59.2821366Z,INFO,[command]/usr/bin/git log -1 --format=%H,
deployment,2025-09-21T22:20:59.2846185Z,INFO,7909e55f68f039676fc8a1969658d80220386c57,
deployment,2025-09-21T22:20:59.3083548Z,INFO,##[group]Run docker/setup-qemu-action@v3,
deployment,2025-09-21T22:20:59.3084140Z,INFO,with:,
deployment,2025-09-21T22:20:59.3084542Z,INFO,image: docker.io/tonistiigi/binfmt:latest,
deployment,2025-09-21T22:20:59.3085035Z,INFO,platforms: all,
deployment,2025-09-21T22:20:59.3085440Z,INFO,cache-image: true,
deployment,2025-09-21T22:20:59.3085817Z,INFO,env:,
deployment,2025-09-21T22:20:59.3086160Z,INFO,ACT_OWNER: nektos,
deployment,2025-09-21T22:20:59.3086605Z,INFO,ACT_REPOSITORY: nektos/act,
deployment,2025-09-21T22:20:59.3086994Z,INFO,CGO_ENABLED: 0,
deployment,2025-09-21T22:20:59.3087395Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:59.5583681Z,INFO,##[group]Docker info,
deployment,2025-09-21T22:20:59.5632971Z,INFO,[command]/usr/bin/docker version,
deployment,2025-09-21T22:21:00.6782623Z,INFO,Client: Docker Engine - Community,
deployment,2025-09-21T22:21:00.6784532Z,INFO,Version:           28.0.4,
deployment,2025-09-21T22:21:00.6785576Z,INFO,API version:       1.48,
deployment,2025-09-21T22:21:00.6786517Z,INFO,Go version:        go1.23.7,
deployment,2025-09-21T22:21:00.6787248Z,INFO,Git commit:        b8034c0,
deployment,2025-09-21T22:21:00.6788096Z,INFO,Built:             Tue Mar 25 15:07:16 2025,
deployment,2025-09-21T22:21:00.6789064Z,INFO,OS/Arch:           linux/amd64,
deployment,2025-09-21T22:21:00.6789703Z,INFO,Context:           default,
deployment,2025-09-21T22:21:00.6790194Z,INFO,,
deployment,2025-09-21T22:21:00.6790553Z,INFO,Server: Docker Engine - Community,
deployment,2025-09-21T22:21:00.6791341Z,INFO,Engine:,
deployment,2025-09-21T22:21:00.6791983Z,INFO,Version:          28.0.4,
deployment,2025-09-21T22:21:00.6792605Z,INFO,API version:      1.48 (minimum version 1.24),
deployment,2025-09-21T22:21:00.6793093Z,INFO,Go version:       go1.23.7,
deployment,2025-09-21T22:21:00.6793547Z,INFO,Git commit:       6430e49,
deployment,2025-09-21T22:21:00.6794054Z,INFO,Built:            Tue Mar 25 15:07:16 2025,
deployment,2025-09-21T22:21:00.6794548Z,INFO,OS/Arch:          linux/amd64,
deployment,2025-09-21T22:21:00.6794984Z,INFO,Experimental:     false,
deployment,2025-09-21T22:21:00.6795472Z,INFO,containerd:,
deployment,2025-09-21T22:21:00.6795856Z,INFO,Version:          1.7.27,
deployment,2025-09-21T22:21:00.6796320Z,INFO,GitCommit:        05044ec0a9a75232cad458027ca83437aae3f4da,
deployment,2025-09-21T22:21:00.6796917Z,INFO,runc:,
deployment,2025-09-21T22:21:00.6797249Z,INFO,Version:          1.2.5,
deployment,2025-09-21T22:21:00.6797608Z,INFO,GitCommit:        v1.2.5-0-g59923ef,
deployment,2025-09-21T22:21:00.6798173Z,INFO,docker-init:,
deployment,2025-09-21T22:21:00.6798520Z,INFO,Version:          0.19.0,
deployment,2025-09-21T22:21:00.6798887Z,INFO,GitCommit:        de40ad0,
deployment,2025-09-21T22:21:00.6847209Z,INFO,[command]/usr/bin/docker info,
deployment,2025-09-21T22:21:03.0846940Z,INFO,Client: Docker Engine - Community,
deployment,2025-09-21T22:21:03.0848004Z,INFO,Version:    28.0.4,
deployment,2025-09-21T22:21:03.0848810Z,INFO,Context:    default,
deployment,2025-09-21T22:21:03.0849996Z,INFO,Debug Mode: false,
deployment,2025-09-21T22:21:03.0850721Z,INFO,Plugins:,
deployment,2025-09-21T22:21:03.0851791Z,INFO,buildx: Docker Buildx (Docker Inc.),
deployment,2025-09-21T22:21:03.0852878Z,INFO,Version:  v0.28.0,
deployment,2025-09-21T22:21:03.0853863Z,INFO,Path:     /usr/libexec/docker/cli-plugins/docker-buildx,
deployment,2025-09-21T22:21:03.0855258Z,INFO,compose: Docker Compose (Docker Inc.),
deployment,2025-09-21T22:21:03.0856721Z,INFO,Version:  v2.38.2,
deployment,2025-09-21T22:21:03.0857732Z,INFO,Path:     /usr/libexec/docker/cli-plugins/docker-compose,
deployment,2025-09-21T22:21:03.0858560Z,INFO,,
deployment,2025-09-21T22:21:03.0858825Z,INFO,Server:,
deployment,2025-09-21T22:21:03.0859236Z,INFO,Containers: 0,
deployment,2025-09-21T22:21:03.0859703Z,INFO,Running: 0,
deployment,2025-09-21T22:21:03.0860258Z,INFO,Paused: 0,
deployment,2025-09-21T22:21:03.0860671Z,INFO,Stopped: 0,
deployment,2025-09-21T22:21:03.0861110Z,INFO,Images: 0,
deployment,2025-09-21T22:21:03.0861760Z,INFO,Server Version: 28.0.4,
deployment,2025-09-21T22:21:03.0862397Z,INFO,Storage Driver: overlay2,
deployment,2025-09-21T22:21:03.0862937Z,INFO,Backing Filesystem: extfs,
deployment,2025-09-21T22:21:03.0863373Z,INFO,Supports d_type: true,
deployment,2025-09-21T22:21:03.0863840Z,INFO,Using metacopy: false,
deployment,2025-09-21T22:21:03.0864214Z,INFO,Native Overlay Diff: false,
deployment,2025-09-21T22:21:03.0864628Z,INFO,userxattr: false,
deployment,2025-09-21T22:21:03.0865092Z,INFO,Logging Driver: json-file,
deployment,2025-09-21T22:21:03.0865483Z,INFO,Cgroup Driver: systemd,
deployment,2025-09-21T22:21:03.0865913Z,INFO,Cgroup Version: 2,
deployment,2025-09-21T22:21:03.0866340Z,INFO,Plugins:,
deployment,2025-09-21T22:21:03.0866697Z,INFO,Volume: local,
deployment,2025-09-21T22:21:03.0867125Z,INFO,Network: bridge host ipvlan macvlan null overlay,
deployment,2025-09-21T22:21:03.0867848Z,INFO,Log: awslogs fluentd gcplogs gelf journald json-file local splunk syslog,
deployment,2025-09-21T22:21:03.0868479Z,INFO,Swarm: inactive,
deployment,2025-09-21T22:21:03.0868910Z,INFO,Runtimes: io.containerd.runc.v2 runc,
deployment,2025-09-21T22:21:03.0869698Z,INFO,Default Runtime: runc,
deployment,2025-09-21T22:21:03.0870216Z,INFO,Init Binary: docker-init,
deployment,2025-09-21T22:21:03.0870966Z,INFO,containerd version: 05044ec0a9a75232cad458027ca83437aae3f4da,
deployment,2025-09-21T22:21:03.0871855Z,INFO,runc version: v1.2.5-0-g59923ef,
deployment,2025-09-21T22:21:03.0872364Z,INFO,init version: de40ad0,
deployment,2025-09-21T22:21:03.0872729Z,INFO,Security Options:,
deployment,2025-09-21T22:21:03.0873170Z,INFO,apparmor,
deployment,2025-09-21T22:21:03.0873514Z,INFO,seccomp,
deployment,2025-09-21T22:21:03.0873827Z,INFO,Profile: builtin,
deployment,2025-09-21T22:21:03.0874250Z,INFO,cgroupns,
deployment,2025-09-21T22:21:03.0874617Z,INFO,Kernel Version: 6.11.0-1018-azure,
deployment,2025-09-21T22:21:03.0875096Z,INFO,Operating System: Ubuntu 24.04.3 LTS,
deployment,2025-09-21T22:21:03.0875598Z,INFO,OSType: linux,
deployment,2025-09-21T22:21:03.0875950Z,INFO,Architecture: x86_64,
deployment,2025-09-21T22:21:03.0876337Z,INFO,CPUs: 4,
deployment,2025-09-21T22:21:03.0876681Z,INFO,Total Memory: 15.62GiB,
deployment,2025-09-21T22:21:03.0877137Z,INFO,Name: runnervmf4ws1,
deployment,2025-09-21T22:21:03.0877554Z,INFO,ID: 80b0c887-f378-498c-94b8-5e260688697c,
deployment,2025-09-21T22:21:03.0878169Z,INFO,Docker Root Dir: /var/lib/docker,
deployment,2025-09-21T22:21:03.0878920Z,INFO,Debug Mode: false,
deployment,2025-09-21T22:21:03.0879529Z,INFO,Username: githubactions,
deployment,2025-09-21T22:21:03.0880195Z,INFO,Experimental: false,
deployment,2025-09-21T22:21:03.0880892Z,INFO,Insecure Registries:,
deployment,2025-09-21T22:21:03.0886783Z,INFO,::1/128,
deployment,2025-09-21T22:21:03.0887210Z,INFO,127.0.0.0/8,
deployment,2025-09-21T22:21:03.0887597Z,INFO,Live Restore Enabled: false,
deployment,2025-09-21T22:21:03.0887848Z,INFO,,
deployment,2025-09-21T22:21:03.0888446Z,INFO,##[endgroup],
deployment,2025-09-21T22:21:03.0889108Z,INFO,##[group]Pulling binfmt Docker image,
deployment,2025-09-21T22:21:03.2408155Z,INFO,[command]/usr/bin/docker pull docker.io/tonistiigi/binfmt:latest,
deployment,2025-09-21T22:21:03.4588376Z,INFO,latest: Pulling from tonistiigi/binfmt,
deployment,2025-09-21T22:21:03.5059747Z,INFO,f4700b809f99: Pulling fs layer,
deployment,2025-09-21T22:21:03.5060941Z,INFO,2adec5d296ac: Pulling fs layer,
deployment,2025-09-21T22:21:03.5934050Z,INFO,2adec5d296ac: Verifying Checksum,
deployment,2025-09-21T22:21:03.5934679Z,INFO,2adec5d296ac: Download complete,
deployment,2025-09-21T22:21:03.7486214Z,INFO,f4700b809f99: Verifying Checksum,
deployment,2025-09-21T22:21:03.7486753Z,INFO,f4700b809f99: Download complete,
deployment,2025-09-21T22:21:04.1151912Z,INFO,f4700b809f99: Pull complete,
deployment,2025-09-21T22:21:04.1937220Z,INFO,2adec5d296ac: Pull complete,
deployment,2025-09-21T22:21:04.1980491Z,INFO,Digest: sha256:30cc9a4d03765acac9be2ed0afc23af1ad018aed2c28ea4be8c2eb9afe03fbd1,
deployment,2025-09-21T22:21:04.1996630Z,INFO,Status: Downloaded newer image for tonistiigi/binfmt:latest,
deployment,2025-09-21T22:21:04.2047331Z,INFO,docker.io/tonistiigi/binfmt:latest,
deployment,2025-09-21T22:21:04.2089311Z,INFO,[command]/usr/bin/docker save -o /home/runner/work/_temp/docker-actions-toolkit-nvkCXP/749e64100d3fa0c09bdbc8a02e4fb9cb3ee64266f7f661c98371040689abacb3.tar docker.io/tonistiigi/binfmt:latest,
deployment,2025-09-21T22:21:04.7856720Z,INFO,Image cached to /home/runner/.docker/.cache/images/docker.io--tonistiigi--binfmt/latest/linux-x64/image.tar,
deployment,2025-09-21T22:21:04.7859177Z,INFO,##[endgroup],
deployment,2025-09-21T22:21:04.7862456Z,INFO,##[group]Image info,
deployment,2025-09-21T22:21:04.7880758Z,INFO,[command]/usr/bin/docker image inspect docker.io/tonistiigi/binfmt:latest,
deployment,2025-09-21T22:21:04.8020020Z,INFO,[,
deployment,2025-09-21T22:21:04.8020799Z,INFO,{,
deployment,2025-09-21T22:21:04.8021870Z,INFO,"""Id"": ""sha256:c97f15e717f7eb99d237e46f0a3553da8cfdf470a15bba459c056d90d0e398f5"",",
deployment,2025-09-21T22:21:04.8022895Z,INFO,"""RepoTags"": [",
deployment,2025-09-21T22:21:04.8023421Z,INFO,"""tonistiigi/binfmt:latest""",
deployment,2025-09-21T22:21:04.8024001Z,INFO,"],",
deployment,2025-09-21T22:21:04.8024427Z,INFO,"""RepoDigests"": [",
deployment,2025-09-21T22:21:04.8025477Z,INFO,"""tonistiigi/binfmt@sha256:30cc9a4d03765acac9be2ed0afc23af1ad018aed2c28ea4be8c2eb9afe03fbd1""",
deployment,2025-09-21T22:21:04.8026634Z,INFO,"],",
deployment,2025-09-21T22:21:04.8027050Z,INFO,"""Parent"": """",",
deployment,2025-09-21T22:21:04.8027577Z,INFO,"""Comment"": ""buildkit.dockerfile.v0"",",
deployment,2025-09-21T22:21:04.8028265Z,INFO,"""Created"": ""2025-09-11T09:43:57.050886711Z"",",
deployment,2025-09-21T22:21:04.8028917Z,INFO,"""DockerVersion"": """",",
deployment,2025-09-21T22:21:04.8029471Z,INFO,"""Author"": """",",
deployment,2025-09-21T22:21:04.8029931Z,INFO,"""Config"": {",
deployment,2025-09-21T22:21:04.8030340Z,INFO,"""Hostname"": """",",
deployment,2025-09-21T22:21:04.8030855Z,INFO,"""Domainname"": """",",
deployment,2025-09-21T22:21:04.8031429Z,INFO,"""User"": """",",
deployment,2025-09-21T22:21:04.8032486Z,INFO,"""AttachStdin"": false,",
deployment,2025-09-21T22:21:04.8033088Z,INFO,"""AttachStdout"": false,",
deployment,2025-09-21T22:21:04.8033712Z,INFO,"""AttachStderr"": false,",
deployment,2025-09-21T22:21:04.8034284Z,INFO,"""Tty"": false,",
deployment,2025-09-21T22:21:04.8034802Z,INFO,"""OpenStdin"": false,",
deployment,2025-09-21T22:21:04.8035239Z,INFO,"""StdinOnce"": false,",
deployment,2025-09-21T22:21:04.8035596Z,INFO,"""Env"": [",
deployment,2025-09-21T22:21:04.8036378Z,INFO,"""PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin"",",
deployment,2025-09-21T22:21:04.8037078Z,INFO,"""QEMU_PRESERVE_ARGV0=1""",
deployment,2025-09-21T22:21:04.8037490Z,INFO,"],",
deployment,2025-09-21T22:21:04.8037820Z,INFO,"""Cmd"": null,",
deployment,2025-09-21T22:21:04.8038244Z,INFO,"""Image"": """",",
deployment,2025-09-21T22:21:04.8038668Z,INFO,"""Volumes"": {",
deployment,2025-09-21T22:21:04.8039014Z,INFO,"""/tmp"": {}",
deployment,2025-09-21T22:21:04.8039379Z,INFO,"},",
deployment,2025-09-21T22:21:04.8039739Z,INFO,"""WorkingDir"": ""/"",",
deployment,2025-09-21T22:21:04.8040166Z,INFO,"""Entrypoint"": [",
deployment,2025-09-21T22:21:04.8040661Z,INFO,"""/usr/bin/binfmt""",
deployment,2025-09-21T22:21:04.8041105Z,INFO,"],",
deployment,2025-09-21T22:21:04.8041438Z,INFO,"""OnBuild"": null,",
deployment,2025-09-21T22:21:04.8042075Z,INFO,"""Labels"": {",
deployment,2025-09-21T22:21:04.8042587Z,INFO,"""org.opencontainers.image.created"": ""2025-09-11T09:13:47.128Z"",",
deployment,2025-09-21T22:21:04.8043613Z,INFO,"""org.opencontainers.image.description"": ""Cross-platform emulator collection distributed with Docker images"",",
deployment,2025-09-21T22:21:04.8044522Z,INFO,"""org.opencontainers.image.licenses"": ""MIT"",",
deployment,2025-09-21T22:21:04.8045319Z,INFO,"""org.opencontainers.image.revision"": ""8bf932dba1f67bb274320e7cebece2807e4b99e1"",",
deployment,2025-09-21T22:21:04.8046374Z,INFO,"""org.opencontainers.image.source"": ""https://github.com/tonistiigi/binfmt"",",
deployment,2025-09-21T22:21:04.8047342Z,INFO,"""org.opencontainers.image.title"": ""Binfmt"",",
deployment,2025-09-21T22:21:04.8048164Z,INFO,"""org.opencontainers.image.url"": ""https://github.com/tonistiigi/binfmt"",",
deployment,2025-09-21T22:21:04.8049096Z,INFO,"""org.opencontainers.image.version"": ""qemu-v10.0.4-56""",
deployment,2025-09-21T22:21:04.8049732Z,INFO,},
deployment,2025-09-21T22:21:04.8050074Z,INFO,"},",
deployment,2025-09-21T22:21:04.8050392Z,INFO,"""Architecture"": ""amd64"",",
deployment,2025-09-21T22:21:04.8050794Z,INFO,"""Os"": ""linux"",",
deployment,2025-09-21T22:21:04.8051119Z,INFO,"""Size"": 83325873,",
deployment,2025-09-21T22:21:04.8051711Z,INFO,"""GraphDriver"": {",
deployment,2025-09-21T22:21:04.8052082Z,INFO,"""Data"": {",
deployment,2025-09-21T22:21:04.8052916Z,INFO,"""LowerDir"": ""/var/lib/docker/overlay2/de83bc138f8bd7dbd544787d45efe78870d7f987adeb5daa9dfd4b86fee7d008/diff"",",
deployment,2025-09-21T22:21:04.8054382Z,INFO,"""MergedDir"": ""/var/lib/docker/overlay2/8767d5ffe30758f74a52ae33d56762fb73e2470bcec385b400ef9e198b69f366/merged"",",
